seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
NZ_CP009417.1||full	0.94	0.0	0.94	dsDNAphage	603032	6	22.7	9.2	603032	761	43	76	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014681.1||full	0.607	0.0	0.607	dsDNAphage	81025	0	31.2	25.0	81025	106	4	48	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009168.1||full	1.0	0.0	1.0	dsDNAphage	94633	12	58.4	5.3	94633	113	46	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009332.1||full	0.947	0.0	0.947	dsDNAphage	82337	10	38.2	17.6	82337	102	24	16	Yes	38297.0	44040.0	viral,host,viral	25209,44040,13088	1-25209,25210-69249,69250-82337	1-44,45-85,86-102	12,1,11	0,16,0
NZ_CP009594.1||full	0.953	0.0	0.953	dsDNAphage	51528	10	49.4	12.0	51528	83	34	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009589.1||full	0.987	0.013	0.987	dsDNAphage	52136	13	60.2	7.2	52136	83	36	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009599.1||full	0.973	0.0	0.973	dsDNAphage	55936	11	42.7	13.4	55936	82	24	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009638.1||full	0.933	0.0	0.933	dsDNAphage	61860	11	43.8	16.9	61860	89	29	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009637.1||full	0.993	0.0	0.993	dsDNAphage	42468	9	51.5	3.0	42468	66	27	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009718.1||full	0.94	0.0	0.94	dsDNAphage	56203	10	40.2	17.1	56203	82	27	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009490.1||full	0.973	0.0	0.973	dsDNAphage	96196	12	51.9	18.3	96196	104	31	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009702.1||full	0.953	0.0	0.953	dsDNAphage	99285	12	49.5	18.3	99285	109	33	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009714.1||full	0.92	0.0	0.92	dsDNAphage	136980	13	40.4	30.5	136980	141	34	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009722.1||full	0.953	0.0	0.953	dsDNAphage	96146	12	52.0	18.0	96146	100	31	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009784.1||full	0.967	0.0	0.967	dsDNAphage	96614	12	51.0	18.6	96614	102	31	7	Yes	75491.0	21123.0	viral,host	75491,21123	1-75491,75492-96614	1-83,84-102	31,0	1,6
NZ_CP009841.1||full	0.973	0.0	0.973	dsDNAphage	95326	12	50.5	19.8	95326	101	31	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009904.1||full	0.96	0.0	0.96	dsDNAphage	96470	13	52.9	18.6	96470	102	33	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009934.1||full	0.947	0.0	0.947	dsDNAphage	95215	12	54.9	14.7	95215	102	29	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009989.1||full	0.96	0.0	0.96	dsDNAphage	99283	12	50.5	17.8	99283	107	33	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010021.1||full	0.96	0.0	0.96	dsDNAphage	106992	12	49.6	16.5	106992	115	32	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010248.1||full	0.927	0.0	0.927	dsDNAphage	136887	12	41.4	30.0	136887	140	33	15	Yes	113514.0	23373.0	viral,host	113514,23373	1-113514,113515-136887	1-122,123-140	33,0	7,8
NZ_CP009347.1||full	0.993	0.0	0.993	dsDNAphage	235422	24	38.2	4.6	235422	262	36	17	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009346.1||full	0.973	0.147	0.973	dsDNAphage	14463	5	73.1	7.7	14463	26	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009345.1||full	0.793	0.0	0.793	dsDNAphage	7247	1	25.0	12.5	7247	7	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009344.1||full	0.96	0.073	0.96	dsDNAphage	6824	2	50.0	16.7	6824	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009604.1||full	0.48	0.52	0.52	ssDNA	6914	0	27.3	0.0	6914	10	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009603.1||full	0.953	0.0	0.953	dsDNAphage	51488	10	48.8	12.2	51488	82	33	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010015.1||full	0.967	0.0	0.967	dsDNAphage	83186	11	49.5	13.4	83186	97	31	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010877.1||full	0.267	0.86	0.86	ssDNA	795	0	50.0	0.0	795	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015484.1||full	0.993	0.0	0.993	dsDNAphage	109962	9	43.9	7.3	109962	123	28	10	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006727.1||full	0.98	0.0	0.98	dsDNAphage	54401	3	22.5	7.5	54401	80	9	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN681228.1||full	0.807	0.0	0.807	dsDNAphage	154264	2	18.8	24.2	154264	186	6	21	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN554849.1||full	0.947	0.02	0.947	dsDNAphage	14134	2	20.0	10.0	14134	20	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN554854.1||full	0.32	0.907	0.907	ssDNA	2021	0	33.3	0.0	2021	3	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP008709.1||full	0.667	0.953	0.953	ssDNA	1893	0	33.3	0.0	1893	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_FO818638.1||full	0.867	0.0	0.867	dsDNAphage	176761	7	27.6	24.1	176761	170	11	38	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011335.1||full	0.567	0.0	0.567	dsDNAphage	7845	0	53.8	30.8	7845	13	1	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014707.1||full	1.0	0.007	1.0	dsDNAphage	101118	16	60.7	1.6	101118	122	39	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011399.1||full	0.88	0.0	0.88	dsDNAphage	67831	2	47.8	15.6	67831	90	17	11	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011430.1||full	0.993	0.0	0.993	dsDNAphage	88554	9	45.9	10.8	88554	111	35	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN831788.1||full	0.98	0.007	0.98	dsDNAphage	86354	5	20.6	6.1	86354	131	18	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011355.1||full	0.993	0.593	0.993	dsDNAphage	14507	5	71.4	0.0	14507	21	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011352.1||full	0.993	0.027	0.993	dsDNAphage	46633	13	56.5	2.9	46633	69	36	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011544.1||full	1.0	0.007	1.0	dsDNAphage	42649	6	37.7	5.7	42649	53	25	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011616.1||full	1.0	0.0	1.0	dsDNAphage	117621	13	54.5	4.2	117621	143	41	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011631.1||full	0.98	0.013	0.98	dsDNAphage	53593	14	83.9	3.6	53593	56	30	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011655.1||full	0.987	0.007	0.987	dsDNAphage	108566	13	53.7	3.7	108566	134	44	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011594.1||full	0.993	0.0	0.993	dsDNAphage	111305	12	56.4	3.0	111305	133	40	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010780.1||full	0.987	0.0	0.987	dsDNAphage	112145	10	42.9	7.1	112145	126	30	10	Yes	100050.0	12095.0	host,viral,host	8366,100050,3729	1-8366,8367-108416,108417-112145	1-9,10-121,122-126	0,30,0	7,1,2
NZ_CP011804.1||full	0.933	0.0	0.933	dsDNAphage	18959	1	43.5	13.0	18959	23	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LT883154.1||full	0.98	0.007	0.98	dsDNAphage	106703	14	55.4	3.8	106703	130	45	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN868940.1||full	0.907	0.0	0.907	dsDNAphage	15090	1	26.1	13.0	15090	23	2	3	Yes	9027.0	6063.0	viral,host	9027,6063	1-9027,9028-15090	1-13,14-23	2,0	0,3
NZ_CP012104.1||full	0.993	0.0	0.993	dsDNAphage	42119	10	52.1	4.2	42119	71	27	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012105.1||full	0.88	0.027	0.88	dsDNAphage	13800	5	35.7	21.4	13800	14	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012106.1||full	0.58	0.66	0.66	ssDNA	3268	0	40.0	0.0	3268	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010108.1||full	0.993	0.0	0.993	dsDNAphage	49686	7	38.6	8.6	49686	70	17	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010109.1||full	0.907	0.0	0.907	dsDNAphage	71609	12	37.6	17.2	71609	93	26	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010110.1||full	0.773	0.0	0.773	dsDNAphage	71485	0	13.0	4.3	71485	100	3	11	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006779.1||full	0.92	0.0	0.92	dsDNAphage	137015	12	40.7	30.0	137015	140	33	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006756.1||full	0.927	0.0	0.927	dsDNAphage	137010	12	40.4	29.8	137010	141	33	15	Yes	106055.0	30955.0	viral,host	106055,30955	1-106055,106056-137010	1-112,113-141	32,1	5,10
NZ_CP006746.1||full	0.927	0.0	0.927	dsDNAphage	137015	12	40.7	30.0	137015	140	33	14	Yes	106136.0	30879.0	host,viral	30879,106136	1-30879,30880-137015	1-28,29-140	1,32	9,5
NZ_CP006749.1||full	0.953	0.0	0.953	dsDNAphage	140936	12	41.8	28.8	140936	146	33	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006752.1||full	0.927	0.0	0.927	dsDNAphage	137725	12	40.4	30.5	137725	141	33	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006790.1||full	0.973	0.0	0.973	dsDNAphage	100416	12	50.9	16.7	100416	108	33	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006760.1||full	0.927	0.0	0.927	dsDNAphage	137015	12	40.7	30.0	137015	140	33	14	Yes	106136.0	30879.0	host,viral	30879,106136	1-30879,30880-137015	1-28,29-140	1,32	9,5
NZ_LT904880.1||full	0.967	0.0	0.967	dsDNAphage	106515	13	55.0	3.9	106515	129	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012383.1||full	0.973	0.007	0.973	dsDNAphage	88922	7	21.2	5.3	88922	132	17	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012254.1||full	0.98	0.0	0.98	dsDNAphage	110090	13	55.2	7.2	110090	125	37	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012595.1||full	0.987	0.22	0.987	dsDNAphage	15954	2	89.3	0.0	15954	28	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009971.1||full	0.947	0.0	0.947	dsDNAphage	96207	12	52.5	17.8	96207	101	32	7	Yes	78069.0	18138.0	host,viral	18138,78069	1-18138,18139-96207	1-15,16-101	1,31	5,2
NZ_CP012653.1||full	1.0	0.553	1.0	dsDNAphage	11849	3	36.0	0.0	11849	25	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012854.1||full	0.867	0.0	0.867	dsDNAphage	45781	1	24.5	17.0	45781	51	2	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012855.1||full	0.867	0.013	0.867	dsDNAphage	48472	2	25.0	21.7	48472	60	3	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012856.1||full	0.887	0.0	0.887	dsDNAphage	46915	1	30.8	12.8	46915	38	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LT904853.1||full	0.98	0.007	0.98	dsDNAphage	106499	13	54.6	3.8	106499	130	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LT904874.1||full	0.973	0.993	0.993	ssDNA	2088	0	100.0	0.0	2088	3	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LT904895.1||full	0.98	0.007	0.98	dsDNAphage	106476	13	55.4	3.8	106476	130	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LT905089.1||full	0.993	0.0	0.993	dsDNAphage	96815	9	55.8	7.1	96815	113	38	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010825.1||full	0.807	0.0	0.807	dsDNAphage	68392	0	14.0	2.3	68392	88	2	10	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN890526.1||full	0.993	0.007	0.993	dsDNAphage	47242	15	62.3	10.1	47242	69	34	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015920.1||full	0.94	0.04	0.94	dsDNAphage	13025	3	33.3	0.0	13025	15	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013058.1||full	0.78	0.0	0.78	dsDNAphage	67555	1	30.0	0.0	67555	89	3	12	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013060.1||full	1.0	0.027	1.0	dsDNAphage	46352	13	56.5	2.9	46352	69	36	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013030.1||full	0.993	0.0	0.993	dsDNAphage	97701	8	54.2	5.9	97701	118	43	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013273.1||full	0.993	0.147	0.993	dsDNAphage	25284	13	89.4	0.0	25284	47	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN824139.1||full	0.993	0.007	0.993	dsDNAphage	54898	14	83.3	3.3	54898	60	28	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013486.1||full	0.953	0.0	0.953	dsDNAphage	128075	7	28.9	14.8	128075	135	13	16	Yes	88025.0	40050.0	host,viral,host	13146,88025,26904	1-13146,13147-101171,101172-128075	1-16,17-105,106-135	0,12,1	5,2,9
NZ_CP013925.1||full	0.567	0.0	0.567	dsDNAphage	52409	0	18.2	3.0	52409	64	2	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013947.1||full	0.92	0.027	0.92	dsDNAphage	33461	7	59.1	11.4	33461	44	8	3	Yes	25636.0	7825.0	viral,host	25636,7825	1-25636,25637-33461	1-36,37-44	8,0	0,3
NZ_CP013948.1||full	0.907	0.0	0.907	dsDNAphage	51215	8	46.3	22.3	51215	54	14	7	Yes	30775.0	20440.0	viral,host	30775,20440	1-30775,30776-51215	1-34,35-54	14,0	1,6
NZ_CP011865.1||full	0.92	0.047	0.92	dsDNAphage	13714	9	66.7	9.5	13714	21	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011867.1||full	0.987	0.007	0.987	dsDNAphage	16552	6	50.0	13.6	16552	22	9	2	Yes	11062.0	5490.0	viral,host	11062,5490	1-11062,11063-16552	1-16,17-22	9,0	0,2
NZ_CP013977.1||full	0.853	0.013	0.853	dsDNAphage	32805	7	58.1	9.3	32805	43	8	3	Yes	25826.0	6979.0	viral,host	25826,6979	1-25826,25827-32805	1-35,36-43	8,0	0,3
NZ_CP014995.1||full	0.987	0.013	0.987	dsDNAphage	109914	13	54.3	9.4	109914	127	41	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006993.1||full	1.0	0.0	1.0	dsDNAphage	116718	9	37.9	1.9	116718	161	36	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014707.1||full	1.0	0.0	1.0	dsDNAphage	85370	5	31.1	3.8	85370	106	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014708.1||full	0.987	0.0	0.987	dsDNAphage	50169	9	37.3	3.0	50169	67	15	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014826.1||full	0.92	0.013	0.92	dsDNAphage	32381	1	13.6	3.4	32381	59	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014869.1||full	0.86	0.0	0.86	dsDNAphage	23679	2	29.4	14.7	23679	34	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014870.1||full	1.0	0.247	1.0	dsDNAphage	14199	4	66.7	0.0	14199	21	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014952.1||full	0.587	0.0	0.587	dsDNAphage	209079	0	40.0	30.0	209079	238	1	72	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014953.1||full	0.987	0.0	0.987	dsDNAphage	103515	13	58.0	3.6	103515	112	37	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014490.1||full	0.973	0.0	0.973	dsDNAphage	109675	14	57.3	4.0	109675	124	43	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014491.1||full	0.993	0.027	0.993	dsDNAphage	62515	23	76.2	6.2	62515	80	42	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012912.1||full	0.813	0.04	0.813	dsDNAphage	11336	0	33.3	4.8	11336	21	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012733.1||full	0.987	0.033	0.987	dsDNAphage	41685	12	67.6	2.9	41685	68	47	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012736.1||full	0.9	0.007	0.9	dsDNAphage	24416	1	42.5	20.0	24416	40	16	10	Yes	9182.0	15234.0	viral,host	9182,15234	1-9182,9183-24416	1-20,21-40	16,0	0,10
NZ_CP013043.1||full	0.673	0.0	0.673	dsDNAphage	54614	0	9.1	0.0	54614	71	2	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014607.1||full	0.967	0.007	0.967	dsDNAphage	34339	5	43.9	12.2	34339	41	12	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012534.1||full	0.553	0.0	0.553	dsDNAphage	38160	0	60.0	10.0	38160	34	0	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014747.1||full	0.987	0.02	0.987	dsDNAphage	81946	28	82.6	2.3	81946	86	50	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014287.1||full	1.0	0.04	1.0	dsDNAphage	41905	11	57.8	3.1	41905	64	27	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014286.1||full	0.987	0.0	0.987	dsDNAphage	54201	10	45.6	7.6	54201	79	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014285.1||full	1.0	0.02	1.0	dsDNAphage	55368	11	48.9	6.5	55368	92	36	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014848.1||full	0.707	0.18	0.707	dsDNAphage	17155	0	15.6	0.0	17155	32	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014849.1||full	1.0	0.147	1.0	dsDNAphage	38329	13	60.6	0.0	38329	66	24	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014850.1||full	1.0	0.013	1.0	dsDNAphage	38639	11	72.2	3.7	38639	54	30	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014852.1||full	0.867	0.0	0.867	dsDNAphage	161352	9	25.9	19.4	161352	201	17	28	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014353.1||full	0.72	0.373	0.72	dsDNAphage	2363	0	25.0	0.0	2363	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011063.1||full	0.987	0.0	0.987	dsDNAphage	97833	8	56.8	9.9	97833	111	40	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011277.1||full	0.92	0.0	0.92	dsDNAphage	12341	1	21.1	15.8	12341	19	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012293.1||full	0.567	0.96	0.96	ssDNA	1828	0	33.3	0.0	1828	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014526.1||full	0.98	0.0	0.98	dsDNAphage	32964	15	54.9	21.6	32964	51	24	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015151.1||full	0.687	0.2	0.687	dsDNAphage	14885	0	17.9	0.0	14885	28	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012662.1||full	0.873	0.0	0.873	dsDNAphage	88608	2	25.0	25.9	88608	106	2	26	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015197.1||full	0.673	0.327	0.673	dsDNAphage	5501	0	7.1	0.0	5501	14	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015437.1||full	0.987	0.0	0.987	dsDNAphage	54976	10	38.0	3.8	54976	79	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015504.1||full	0.987	0.007	0.987	dsDNAphage	56226	14	85.0	3.3	56226	60	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015755.1||full	0.953	0.007	0.953	dsDNAphage	109348	13	55.2	5.6	109348	125	39	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014756.1||full	0.987	0.0	0.987	dsDNAphage	120829	13	52.5	8.2	120829	122	34	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015334.1||full	0.833	0.0	0.833	dsDNAphage	26683	1	17.2	10.3	26683	29	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015997.1||full	0.987	0.0	0.987	dsDNAphage	98215	9	55.2	6.7	98215	105	38	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014649.1||full	0.967	0.0	0.967	dsDNAphage	133226	13	41.4	27.4	133226	157	41	38	Yes	61843.0	71383.0	viral,host	61843,71383	1-61843,61844-133226	1-81,82-157	41,0	1,37
NZ_CP016161.1||full	0.953	0.007	0.953	dsDNAphage	109214	13	54.8	5.6	109214	124	40	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015915.1||full	0.973	0.0	0.973	dsDNAphage	114087	12	57.6	7.6	114087	118	38	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP016311.1||full	0.94	0.0	0.94	dsDNAphage	14525	1	21.1	15.8	14525	19	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015358.1||full	0.96	0.027	0.96	dsDNAphage	46415	11	52.6	8.8	46415	57	18	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015359.1||full	1.0	0.107	1.0	dsDNAphage	17172	7	56.7	0.0	17172	30	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014569.1||full	0.993	0.0	0.993	dsDNAphage	44634	6	33.9	1.7	44634	59	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP016381.1||full	0.887	0.0	0.887	dsDNAphage	133523	6	32.1	27.9	133523	154	16	31	Yes	83674.0	49849.0	viral,host,viral	78332,49849,5342	1-78332,78333-128181,128182-133523	1-96,97-146,147-154	13,1,2	5,26,0
NZ_CP016417.1||full	0.767	0.727	0.767	dsDNAphage	8733	0	66.7	0.0	8733	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP016275.1||full	0.953	0.0	0.953	dsDNAphage	95739	12	52.0	18.0	95739	100	31	7	Yes	83126.0	12613.0	host,viral,host	9230,83126,3383	1-9230,9231-92356,92357-95739	1-8,9-98,99-100	0,31,0	3,2,2
NZ_CP016549.1||full	0.98	0.0	0.98	dsDNAphage	125853	14	54.8	10.4	125853	135	40	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014913.1||full	0.853	0.0	0.853	dsDNAphage	50171	2	28.8	34.2	50171	73	11	17	Yes	19756.0	30415.0	viral,host,viral	11069,30415,8687	1-11069,11070-41484,41485-50171	1-16,17-57,58-73	2,2,7	0,17,0
NZ_CP014917.1||full	1.0	0.0	1.0	dsDNAphage	24319	4	48.7	5.1	24319	39	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP014923.1||full	0.927	0.0	0.927	dsDNAphage	13543	2	45.0	30.0	13543	20	3	3	Yes	7647.0	5896.0	host,viral	5896,7647	1-5896,5897-13543	1-6,7-20	0,3	2,1
NZ_CP014925.1||full	0.953	0.0	0.953	dsDNAphage	38122	2	35.7	17.9	38122	56	10	9	Yes	15171.0	22951.0	viral,host,viral	2683,22951,12488	1-2683,2684-25634,25635-38122	1-8,9-38,39-56	2,3,5	0,9,0
NZ_CP016924.1||full	0.98	0.0	0.98	dsDNAphage	111461	13	53.4	5.9	111461	118	34	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP017043.1||full	0.947	0.0	0.947	dsDNAphage	57415	3	24.7	22.1	57415	73	1	17	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP017058.1||full	0.687	0.0	0.687	dsDNAphage	221039	0	29.4	23.5	221039	273	9	62	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015256.1||full	0.7	0.0	0.7	dsDNAphage	12508	3	27.3	18.2	12508	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012494.1||full	0.993	0.0	0.993	dsDNAphage	96129	11	55.2	6.0	96129	116	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012491.1||full	1.0	0.0	1.0	dsDNAphage	95718	10	53.8	6.8	95718	117	45	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015837.1||full	0.98	0.0	0.98	dsDNAphage	98241	10	57.9	7.9	98241	114	40	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP016445.1||full	0.647	0.787	0.787	ssDNA	2378	0	33.3	0.0	2378	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP017182.1||full	0.573	0.0	0.573	dsDNAphage	47218	0	42.9	28.6	47218	48	0	16	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012570.1||full	0.98	0.0	0.98	dsDNAphage	111036	14	53.8	5.9	111036	119	35	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012565.1||full	0.98	0.0	0.98	dsDNAphage	111859	14	54.5	5.8	111859	121	35	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013818.1||full	0.873	0.013	0.873	dsDNAphage	32448	7	56.8	9.1	32448	46	8	3	Yes	28071.0	4377.0	host,viral	4377,28071	1-4377,4378-32448	1-5,6-46	0,8	2,1
NZ_CP017387.1||full	0.9	0.0	0.9	dsDNAphage	225762	15	31.4	25.6	225762	258	34	42	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012427.1||full	0.967	0.0	0.967	dsDNAphage	126385	22	58.3	7.6	126385	132	44	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012429.1||full	1.0	0.013	1.0	dsDNAphage	46770	13	85.7	4.1	46770	49	25	0	No	NA	NA	NA	NA	NA	NA	NA	NA
